CustomerID,Country,Recency,Recency_Cluster,Frequency,Frequency_Cluster,Monetary_Value,Monetary_Value_Cluster,Score,Customer_Value_Low,Customer_Value_Mid,Customer_Value_High,Purchase
13085,0,57,3,84,0,2433.28,0,3,1,0,0,0
13078,0,6,3,753,1,26587.29,1,5,0,1,0,1
15362,0,348,1,40,0,613.08,0,1,1,0,0,0
18102,0,26,3,1016,1,569215.42,3,7,0,0,1,1
12682,1,0,3,898,1,20722.0,1,5,0,1,0,1
18087,0,190,2,88,0,14761.519999999999,0,2,1,0,0,0
13635,0,342,1,162,0,2999.16,0,1,1,0,0,0
14110,0,19,3,397,1,12337.07,0,4,1,0,0,1
12636,1,638,0,1,0,141.0,0,0,1,0,0,0
17519,0,33,3,188,0,4418.15,0,3,1,0,0,0
13758,0,101,2,274,0,8185.32,0,2,1,0,0,0
12362,1,20,3,237,0,4827.19,0,3,1,0,0,1
15413,0,591,0,25,0,6798.72,0,0,1,0,0,0
16321,1,205,2,23,0,604.5500000000001,0,2,1,0,0,0
16167,0,314,1,63,0,1386.1200000000001,0,1,1,0,0,0
17865,0,7,3,1010,1,26312.190000000002,1,5,0,1,0,1
17592,0,638,0,13,0,148.3,0,0,1,0,0,0
13767,0,8,3,735,1,30366.890000000003,1,5,0,1,0,1
17238,0,36,3,1011,1,6103.38,0,4,1,0,0,1
15712,0,9,3,155,0,3265.96,0,3,1,0,0,1
15311,0,12,3,4032,2,106996.66,2,7,0,0,1,1
16329,0,327,1,104,0,1664.92,0,1,1,0,0,0
17700,0,113,2,312,0,5827.16,0,2,1,0,0,0
14911,1,5,3,9966,3,264528.11,2,8,0,0,1,1
15998,0,71,3,1425,1,8274.14,0,4,1,0,0,1
12931,0,1,3,204,0,84731.44,1,4,1,0,0,1
12533,1,527,0,72,0,1367.89,0,0,1,0,0,0
17984,0,45,3,242,0,1152.19,0,3,1,0,0,0
14871,0,78,3,159,0,1062.19,0,3,1,0,0,0
13394,0,15,3,397,1,6319.6,0,4,1,0,0,1
16011,0,19,3,404,1,4950.89,0,4,1,0,0,1
16393,0,42,3,666,1,4371.19,0,4,1,0,0,1
14040,0,17,3,781,1,12523.81,0,4,1,0,0,1
12913,0,182,2,57,0,4666.0,0,2,1,0,0,0
15061,0,27,3,857,1,118822.36,2,6,0,1,0,1
14341,0,30,3,265,0,4452.02,0,3,1,0,0,1
17804,0,276,1,91,0,383.78000000000003,0,1,1,0,0,0
14156,1,14,3,3951,2,307082.37,2,7,0,0,1,1
13599,0,56,3,340,1,8512.460000000001,0,4,1,0,0,1
17063,0,63,3,189,0,3272.36,0,3,1,0,0,0
15719,0,26,3,1770,1,10195.97,0,4,1,0,0,1
12490,1,0,3,404,1,8591.74,0,4,1,0,0,1
15793,0,168,2,26,0,2045.96,0,2,1,0,0,0
17056,0,638,0,8,0,128.60000000000002,0,0,1,0,0,0
13526,0,638,0,44,0,1182.0,0,0,1,0,0,0
14654,0,638,0,27,0,246.86,0,0,1,0,0,0
17998,0,280,1,58,0,639.24,0,1,1,0,0,0
17742,0,13,3,85,0,2098.48,0,3,1,0,0,0
15326,0,233,2,129,0,1700.52,0,2,1,0,0,0
14478,0,282,1,68,0,1276.66,0,1,1,0,0,0
15967,0,218,2,433,1,2730.22,0,3,1,0,0,0
17611,0,23,3,1093,1,8031.4800000000005,0,4,1,0,0,1
15051,0,50,3,255,0,3681.23,0,3,1,0,0,0
13097,0,22,3,1004,1,13324.1,0,4,1,0,0,1
13590,0,50,3,391,1,6022.9,0,4,1,0,0,0
15984,0,0,3,649,1,7663.1,0,4,1,0,0,1
16887,0,300,1,101,0,658.17,0,1,1,0,0,0
12921,0,30,3,1399,1,32179.15,1,5,0,1,0,1
14543,0,8,3,206,0,14259.29,0,3,1,0,0,1
15945,0,265,1,28,0,646.27,0,1,1,0,0,0
18037,0,54,3,33,0,167.42,0,3,1,0,0,0
15662,0,561,0,12,0,283.73,0,0,1,0,0,0
15380,0,41,3,46,0,2863.6600000000003,0,3,1,0,0,1
13110,0,37,3,252,0,2957.4700000000003,0,3,1,0,0,1
12836,0,37,3,411,1,6559.7300000000005,0,4,1,0,0,1
15005,0,8,3,2311,2,13231.66,0,5,0,1,0,1
16620,0,160,2,90,0,1675.73,0,2,1,0,0,0
12758,1,16,3,313,0,9903.24,0,3,1,0,0,0
17961,0,23,3,626,1,2850.09,0,4,1,0,0,1
15601,0,22,3,815,1,14013.34,0,4,1,0,0,1
13585,0,430,0,39,0,684.54,0,0,1,0,0,0
13442,0,567,0,38,0,419.87,0,0,1,0,0,0
13381,0,13,3,356,1,8224.37,0,4,1,0,0,1
16763,0,98,2,44,0,964.6999999999999,0,2,1,0,0,0
17243,0,13,3,985,1,17019.52,0,4,1,0,0,1
14865,0,271,1,5,0,77.52000000000001,0,1,1,0,0,0
17345,0,96,3,160,0,1348.12,0,3,1,0,0,0
13819,0,201,2,101,0,2642.35,0,2,1,0,0,0
15808,0,206,2,772,1,17180.25,0,3,1,0,0,0
17191,0,91,3,442,1,3778.17,0,4,1,0,0,0
13748,0,132,2,58,0,2064.35,0,2,1,0,0,0
15265,0,51,3,193,0,3345.64,0,3,1,0,0,0
15750,0,70,3,584,1,5925.461,0,4,1,0,0,0
17428,0,10,3,714,1,30445.36,1,5,0,1,0,1
15485,0,235,2,94,0,3514.55,0,2,1,0,0,0
